crmid,lastSKU,nextSKU,support,confidence,lift
9942836990403070849865038,prd1018,prd1004,0.0011747813601357526,0.060810810810810814,4.4795348232848236
9074711521027592180064215,prd1018,prd1004,0.0011747813601357526,0.060810810810810814,4.4795348232848236
8940717802208910891393354,prd1018,prd1004,0.0011747813601357526,0.060810810810810814,4.4795348232848236
8673835772445726990277959,prd1018,prd1004,0.0011747813601357526,0.060810810810810814,4.4795348232848236
8137200506967533784837715,prd1018,prd1004,0.0011747813601357526,0.060810810810810814,4.4795348232848236
8136779859088025962711038,prd1018,prd1004,0.0011747813601357526,0.060810810810810814,4.4795348232848236
8128604789097123183414535,prd1018,prd1004,0.0011747813601357526,0.060810810810810814,4.4795348232848236
8128178957817800275724955,prd1018,prd1004,0.0011747813601357526,0.060810810810810814,4.4795348232848236
8015558352697950112879532,prd1018,prd1004,0.0011747813601357526,0.060810810810810814,4.4795348232848236
8014618389574102422704056,prd1018,prd1004,0.0011747813601357526,0.060810810810810814,4.4795348232848236
8011941526899063720324128,prd1018,prd1004,0.0011747813601357526,0.060810810810810814,4.4795348232848236
7895661822489487583057604,prd1018,prd1004,0.0011747813601357526,0.060810810810810814,4.4795348232848236
7788915948353780722282644,prd1018,prd1004,0.0011747813601357526,0.060810810810810814,4.4795348232848236
7788490179647975285344769,prd1018,prd1004,0.0011747813601357526,0.060810810810810814,4.4795348232848236
7783972406973125310507648,prd1018,prd1004,0.0011747813601357526,0.060810810810810814,4.4795348232848236
7779869808738553875098472,prd1018,prd1004,0.0011747813601357526,0.060810810810810814,4.4795348232848236
7664982262431046245031864,prd1018,prd1004,0.0011747813601357526,0.060810810810810814,4.4795348232848236
7612039578997474632350929,prd1018,prd1004,0.0011747813601357526,0.060810810810810814,4.4795348232848236
7558243442636452083188553,prd1018,prd1004,0.0011747813601357526,0.060810810810810814,4.4795348232848236
7550101838726194265713927,prd1018,prd1004,0.0011747813601357526,0.060810810810810814,4.4795348232848236
7549190152354434640500385,prd1018,prd1004,0.0011747813601357526,0.060810810810810814,4.4795348232848236
7468699733879671620287905,prd1018,prd1004,0.0011747813601357526,0.060810810810810814,4.4795348232848236
7079311806634403653183744,prd1018,prd1004,0.0011747813601357526,0.060810810810810814,4.4795348232848236
6631480959520512851264154,prd1018,prd1004,0.0011747813601357526,0.060810810810810814,4.4795348232848236
6629671791191459649031305,prd1018,prd1004,0.0011747813601357526,0.060810810810810814,4.4795348232848236
